supplier,cost_savings,PPV,QP,QR,lead_time_attainment,carbon_emission_intensity,renewable_energy_usage,plastic_recycle,human_rights_compliance_score,node_parity,DDR_gen_support,geo_risk,tariff_risk,chip_shortage_impact,revenue,cogs,gross_margin_pct,cash_flow,debt_equity_ratio,scale_unit,value_unit,fiscal_year,supplier_code,predicted_PSL_status,Prob_Developing,Prob_Limited,Prob_Preferred,PSL_status_encoded,predicted_allocation_percent
Micron,15.0,-500.0,95.0,90.0,95.0,12.0,38.0,91.0,97.0,1,0.8,0.316,0.086,0.08,37378000.0,22505000.0,39.8,17525000.0,0.269,millions,Thousands USD,2025,0,Limited,0.040267713,0.9057956,0.053936698,1.0,0.0
Samsung,7.0,-500.0,85.0,80.0,90.0,14.5,32.0,88.0,95.0,1,0.85,0.265,0.081,0.08,79140503000.0,51009931000.0,35.54,16580866000.0,0.27,millions of Korean won,Thousands USD,2025,1,Limited,0.13330826,0.6987521,0.16793962,1.0,0.0
SK Hynix,10.0,-500.0,95.0,90.0,95.0,13.5,35.0,89.0,96.0,1,0.95,0.305,0.09,0.08,18110370.37037037,7718518.518518519,57.38476837580261,10642962.962962965,0.29,KRW Billion,Thousands USD,2025,2,Preferred,0.015617158,0.33251366,0.6518692,2.0,100.0
